一攫千金	一獲千金
叮嚀	丁寧
鄭重	丁重
三叉路	三差路
輿論	世論
啞鈴	亜鈴
交叉	交差
饗宴	供宴
駿馬	俊馬
堡壘	保塁
箇条書	個条書
扁平	偏平
碇泊	停泊
優駿	優俊
尖兵	先兵
尖鋭	先鋭
共軛	共役
饒舌	冗舌
兇器	凶器
鑿岩	削岩
庖丁	包丁
繃帯	包帯
區劃	区画
儼然	厳然
友誼	友宜
叛乱	反乱
蒐集	収集
抒情	叙情
擡頭	台頭
合辦	合弁
嬉遊曲	喜遊曲
歎願	嘆願
廻転	回転
回游	回遊
捧持	奉持
萎縮	委縮
輾轉	展転
稀少	希少
眩惑	幻惑
廣汎	広範
曠野	広野
廢墟	廃虚
建蔽率	建坪率
辨當	弁当
瓣膜	弁膜
辯護	弁護
辮髮	弁髪
絃歌	弦歌
恩誼	恩義
意嚮	意向
慰藉料	慰謝料
臆断	憶断
臆病	憶病
戰歿	戦没
煽情	扇情
手帖	手帳
伎倆	技量
抜萃	抜粋
披瀝	披歴
牴触	抵触
抽籤	抽選
勾引	拘引
醵出	拠出
醵金	拠金
掘鑿	掘削
扣除	控除
掩護	援護
抛棄	放棄
撒水	散水
敬虔	敬謙
敷衍	敷延
断乎	断固
簇生	族生
陞敘	昇叙
煖房	暖房
暗誦	暗唱
闇夜	暗夜
曝露	暴露
涸渇	枯渇
恰好	格好
恰幅	格幅
毀損	棄損
摸索	模索
橋頭堡	橋頭保
欠缺	欠缺
屍體	死体
臀部	殿部
拇指	母指
気魄	気迫
訣別	決別
決潰	決壊
沈澱	沈殿
油槽船	油送船
波瀾	波乱
註釋	注釈
洗滌 洗浄	洗浄
活潑	活発
滲透	浸透
浸蝕	浸食
銷卻	消却
渾然	混然
彎曲	湾曲
熔接	溶接
漁撈	漁労
飄然	漂然
激昂	激高
火焰	火炎
焦躁	焦燥
斑点	班点
溜飲	留飲
掠奪	略奪
疏通	疎通
醱酵	発酵
白堊	白亜
相剋	相克
智慧	知恵
破毀	破棄
確乎	確固
禁錮	禁固
符牒	符丁
扮装	粉装
紫斑	紫班
終熄	終息
綜合	総合
編輯	編集
義捐	義援
耕耘機	耕運機
肝腎	肝心
肩胛骨	肩甲骨
悖德	背徳
脈搏	脈拍
膨脹	膨張
芳醇	芳純
叡智	英知
蒸溜	蒸留
燻蒸	薫蒸
燻製	薫製
衣裳	衣装
衰退 衰頽	衰退
悠然	裕然
輔佐	補佐
訓誡	訓戒
試煉	試練
詭辯	詭弁
媾和	講和
象嵌	象眼
貫禄	貫録
買辦	買弁
讚辭	賛辞
蹈襲	踏襲
車輛	車両
顛倒	転倒
輪廓	輪郭
褪色	退色
杜絶	途絶
連繫	連係
聯合	連合
銓衡	選考
醋酸	酢酸
野鄙	野卑
礦石	鉱石
間歇	間欠
函數	関数
防禦	防御
嶮岨	険阻
牆壁	障壁
障礙	障害
湮滅	隠滅
聚落	集落
雇傭	雇用
諷喩	風諭
蜚語	飛語
香奠	香典
骨骼	骨格
亢進	高進
鳥瞰	鳥観
