一攫千金	一獲千金
叮咛	丁寧
郑重	丁重
三叉路	三差路
舆论	世論
哑铃	亜鈴
交叉	交差
飨宴	供宴
骏马	俊馬
堡垒	保塁
个条书	個条書
扁平	偏平
碇泊	停泊
优骏	優俊
尖兵	先兵
尖锐	先鋭
共轭	共役
饶舌	冗舌
凶器	凶器
凿岩	削岩
庖丁	包丁
绷带	包帯
区划	区画
俨然	厳然
友谊	友宜
叛乱	反乱
搜集	収集
抒情	叙情
抬头	台頭
合办	合弁
嬉游曲	喜遊曲
叹愿	嘆願
廻转	回転
回游	回遊
捧持	奉持
萎缩	委縮
辗转	展転
稀少	希少
眩惑	幻惑
广泛	広範
旷野	広野
废墟	廃虚
建蔽率	建坪率
辨当	弁当
瓣膜	弁膜
辩护	弁護
辫发	弁髪
弦歌	弦歌
恩谊	恩義
意向	意向
慰藉料	慰謝料
臆断	憶断
臆病	憶病
战殁	戦没
煽情	扇情
手帖	手帳
伎俩	技量
拔萃	抜粋
披沥	披歴
抵触	抵触
抽签	抽選
勾引	拘引
醵出	拠出
醵金	拠金
掘凿	掘削
扣除	控除
掩护	援護
抛弃	放棄
撒水	散水
敬虔	敬謙
敷衍	敷延
断乎	断固
簇生	族生
升叙	昇叙
煖房	暖房
暗诵	暗唱
暗夜	暗夜
曝露	暴露
涸渴	枯渇
恰好	格好
恰幅	格幅
毁损	棄損
摸索	模索
桥头堡	橋頭保
欠缺	欠缺
尸体	死体
臀部	殿部
拇指	母指
气魄	気迫
诀别	決別
决溃	決壊
沈淀	沈殿
油槽船	油送船
波澜	波乱
注释	注釈
洗涤 洗涤	洗浄
活溌	活発
渗透	浸透
浸蚀	浸食
销却	消却
浑然	混然
弯曲	湾曲
熔接	溶接
渔捞	漁労
飘然	漂然
激昂	激高
火焔	火炎
焦躁	焦燥
斑点	班点
溜饮	留飲
掠夺	略奪
疎通	疎通
醗酵	発酵
白垩	白亜
相克	相克
智慧	知恵
破毁	破棄
确乎	確固
禁锢	禁固
符牒	符丁
扮装	粉装
紫斑	紫班
终熄	終息
综合	総合
编辑	編集
义捐	義援
耕耘机	耕運機
肝肾	肝心
肩胛骨	肩甲骨
悖德	背徳
脉搏	脈拍
膨胀	膨張
芳醇	芳純
叡智	英知
蒸溜	蒸留
熏蒸	薫蒸
熏制	薫製
衣裳	衣装
衰退 衰颓	衰退
悠然	裕然
辅佐	補佐
训诫	訓戒
试炼	試練
诡辩	詭弁
媾和	講和
象嵌	象眼
贯禄	貫録
买办	買弁
赞辞	賛辞
蹈袭	踏襲
车辆	車両
颠倒	転倒
轮廓	輪郭
褪色	退色
杜绝	途絶
联繋	連係
联合	連合
铨衡	選考
酢酸	酢酸
野鄙	野卑
矿石	鉱石
间歇	間欠
函数	関数
防御	防御
崄岨	険阻
墙壁	障壁
障碍	障害
湮灭	隠滅
聚落	集落
雇佣	雇用
讽喩	風諭
蜚语	飛語
香奠	香典
骨骼	骨格
亢进	高進
鸟瞰	鳥観
