乍得	查德
也门	葉門
仙童半导体	快捷半導體
伯利兹	貝里斯
佛得角	維德角
傅里叶	傅立葉
克罗地亚	克羅埃西亞
列支敦士登	列支敦斯登
利比里亚	賴比瑞亞
加纳	迦納
加蓬	加彭
博茨瓦纳	波札那
卡塔尔	卡達
危地马拉	瓜地馬拉
厄瓜多尔	厄瓜多
厄立特里亚	厄利垂亞
吉布堤	吉布地
哈萨克斯坦	哈薩克
哥斯达黎加	哥斯大黎加
吃茶小舖	喫茶小舖
图瓦卢	吐瓦魯
土库曼斯坦	土庫曼
圭亚那	蓋亞那
坦桑尼亚	坦尚尼亞
埃塞俄比亚	衣索比亞
基里巴斯	吉里巴斯
塔吉克斯坦	塔吉克
塞拉利昂	獅子山
塞浦路斯	塞普勒斯
塞舌尔	塞席爾
多米尼加	多明尼加
安提瓜和巴布达	安地卡及巴布達
尼日利亚	奈及利亞
尼日尔	尼日
冈比亚	甘比亞
巴巴多斯	巴貝多
巴布亚新几内亚	巴布亞紐幾內亞
布基纳法索	布吉納法索
布隆迪	蒲隆地
帕劳	帛琉
几内亚比绍	幾內亞比索
意大利	義大利
所罗门群岛	索羅門羣島
文莱	汶萊
斯威士兰	史瓦濟蘭
斯洛文尼亚	斯洛維尼亞
新西兰	紐西蘭
格林纳达	格瑞那達
格鲁吉亚	喬治亞
欧拉	尤拉
毛里塔尼亚	茅利塔尼亞
毛里求斯	模里西斯
沙特阿拉伯	沙烏地阿拉伯
波斯尼亚黑塞哥维那	波士尼亞赫塞哥維納
津巴布韦	辛巴威
洪都拉斯	宏都拉斯
温纳图万	那杜
乌兹别克斯坦	烏茲別克
特立尼达和多巴哥	千里達及托巴哥
瑙鲁	諾魯
瓦努阿图	萬那杜
卢旺达	盧安達
科摩罗	葛摩
科特迪瓦	象牙海岸
突尼斯	突尼西亞
纯吃茶	純喫茶
索马里	索馬利亞
老挝	寮國
圣基茨和尼维斯	聖克里斯多福及尼維斯
圣文森特和格林纳丁斯	聖文森及格瑞那丁
圣卢西亚	聖露西亞
圣马力诺	聖馬利諾
肯尼亚	肯亞
莫桑比克	莫三比克
莱索托	賴索托
万象	永珍
苏里南	蘇利南
贝宁	貝南
赞比亚	尚比亞
阿塞拜疆	亞塞拜然
阿拉伯联合酋长国	阿拉伯聯合大公國
香农	夏農
马尔代夫	馬爾地夫
马里共和国	馬利共和國
